domain,name,password
https://google.com,aaadddddddd,aaaddddddddddddddddddddd
https://twitch.tv,,a
https://github.com,,a
https://strudel.cc,a,
https://gemini.google.com/app,,
https://w3schools.com/vue/vue_v-for.php,a,a
http://juhanurmihxlp77nkq76byazcldy2hlmovfu2epvl5ankdibsot4csyd.onion/,aaa,a
http://2gzyxa5ihm7nsggfxnu52rck2vv4rvmdlkiu3zzui5du4xyclen53wid.onion/,aaa,a
https://ahmia.fi/,aaa,a
https://ssssssss,aaa,a
https://lokinet.loki/,aaa,a
http://zzz.i2p,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaaaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
USK@g29a73m3sCq2A-M~U5tP-RjX~6eE4gX11Y2E~01G5A09X1Y8Z7W6V5U4T3S2R1QAQACAAE/social-guide/1/,aaa,a
